Id,Label,Closeness Centrality,Betweenness Centrality,degree,r=0.51,r=0.4,r=0.3
0,Myriel,0.429378531,0.176842105,10,0,0,0
1,Napoleon,0.301587302,0,1,0.25559,0.2656,0.2747
2,MlleBaptistine,0.413043478,0,3,0.23603,0.2742,0.3089
3,MmeMagloire,0.413043478,0,3,0.23603,0.2742,0.3089
4,CountessDeLo,0.301587302,0,1,0.25559,0.2656,0.2747
5,Geborand,0.301587302,0,1,0.25559,0.2656,0.2747
6,Champtercier,0.301587302,0,1,0.25559,0.2656,0.2747
7,Cravatte,0.301587302,0,1,0.25559,0.2656,0.2747
8,Count,0.301587302,0,1,0.25559,0.2656,0.2747
9,OldMan,0.301587302,0,1,0.25559,0.2656,0.2747
10,Labarre,0.393782383,0,1,0.30067,0.3208,0.3391
11,Valjean,0.644067797,0.569989053,36,0,0,0
12,Marguerite,0.413043478,0,2,0.25592,0.2898,0.3206
13,MmeDeR,0.393782383,0,1,0.30067,0.3208,0.3391
14,Isabeau,0.393782383,0,1,0.30067,0.3208,0.3391
15,Gervais,0.393782383,0,1,0.30067,0.3208,0.3391
16,Tholomyes,0.391752577,0.040629348,9,0,0,0
17,Listolier,0.340807175,0,7,0.21401,0.2414,0.2663
18,Fameuil,0.340807175,0,7,0.21401,0.2414,0.2663
19,Blacheville,0.340807175,0,7,0.21401,0.2414,0.2663
20,Favourite,0.340807175,0,7,0.21401,0.2414,0.2663
21,Dahlia,0.340807175,0,7,0.21401,0.2414,0.2663
22,Zephine,0.340807175,0,7,0.21401,0.2414,0.2663
23,Fantine,0.460606061,0.129644541,15,0,0,0
24,MmeThenardier,0.460606061,0.029002419,11,0.23915,0.287,0.3305
25,Thenardier,0.517006803,0.074901221,16,0,0,0
26,Cosette,0.477987421,0.023796253,11,0.24748,0.2972,0.3424
27,Javert,0.517006803,0.05433156,17,0,0,0
28,Fauchelevent,0.402116402,0.026491228,4,0,0,0
29,Bamatabois,0.426966292,0.008040936,8,0,0,0
30,Perpetue,0.317991632,0,2,0.20937,0.2328,0.2541
31,Simplice,0.417582418,0.008640295,4,0,0,0
32,Scaufflaire,0.393782383,0,1,0.30067,0.3208,0.3391
33,Woman1,0.395833333,0,2,0.24759,0.2796,0.3087
34,Judge,0.404255319,0,6,0.22499,0.2636,0.2987
35,Champmathieu,0.404255319,0,6,0.22499,0.2636,0.2987
36,Brevet,0.404255319,0,6,0.22499,0.2636,0.2987
37,Chenildieu,0.404255319,0,6,0.22499,0.2636,0.2987
38,Cochepaille,0.404255319,0,6,0.22499,0.2636,0.2987
39,Pontmercy,0.37254902,0.006925439,3,0.21643,0.2502,0.2809
40,Boulatruelle,0.342342342,0,1,0.27519,0.2896,0.3027
41,Eponine,0.395833333,0.011487551,11,0,0,0
42,Anzelma,0.351851852,0,3,0.20614,0.2376,0.2662
43,Woman2,0.402116402,0,3,0.23064,0.2676,0.3012
44,MotherInnocent,0.397905759,0,2,0.24857,0.2808,0.3101
45,Gribier,0.287878788,0,1,0.24873,0.2572,0.2649
46,Jondrette,0.256756757,0,1,0.23354,0.2386,0.2432
47,MmeBurgon,0.343891403,0.026315789,2,0,0,0
48,Gavroche,0.513513514,0.165112502,22,0,0,0
49,Gillenormand,0.441860465,0.020210622,7,0,0,0
50,Magnon,0.334801762,2.17E-04,2,0.2177,0.243,0.266
51,MlleGillenormand,0.441860465,0.047598928,7,0,0,0
52,MmePontmercy,0.315352697,3.51E-04,2,0.2079,0.231,0.252
53,MlleVaubois,0.307692308,0,1,0.25853,0.2692,0.2789
54,LtGillenormand,0.365384615,0,4,0,0,0
55,Marius,0.531468531,0.132032489,19,0,0,0
56,BaronessT,0.351851852,0,2,0.22603,0.2532,0.2779
57,Mabeuf,0.395833333,0.027661236,11,0.2073,0.248,0.285
58,Enjolras,0.481012658,0.042553357,15,0,0,0
59,Combeferre,0.391752577,0.001250146,11,0.19871,0.2404,0.2783
60,Prouvaire,0.356807512,0,9,0.18156,0.2194,0.2538
61,Feuilly,0.391752577,0.001250146,11,0.19871,0.2404,0.2783
62,Courfeyrac,0.4,0.00526703,13,0,0,0
63,Bahorel,0.393782383,0.002185488,12,0.19969,0.2416,0.2797
64,Bossuet,0.475,0.03075365,13,0,0,0
65,Joly,0.393782383,0.002185488,12,0.19969,0.2416,0.2797
66,Grantaire,0.358490566,1.50E-04,10,0.19531,0.2304,0.2623
67,MotherPlutarch,0.284644195,0,1,0.24726,0.2554,0.2628
68,Gueulemer,0.463414634,0.004960384,10,0.24676,0.2934,0.3358
69,Babet,0.463414634,0.004960384,10,0.24676,0.2934,0.3358
70,Claquesous,0.452380952,0.004861804,10,0.24137,0.2868,0.3281
71,Montparnasse,0.457831325,0.00387383,9,0.23105,0.28,0.3245
72,Toussaint,0.402116402,0,3,0.23064,0.2676,0.3012
73,Child1,0.342342342,0,2,0.22113,0.2472,0.2709
74,Child2,0.342342342,0,2,0.22113,0.2472,0.2709
75,Brujon,0.38,4.39E-04,7,0.23312,0.2648,0.2936
76,MmeHucheloup,0.353488372,0,7,0.21989,0.2486,0.2747
,,0.067121956,0.072588618,6.039910552,,,